44,13	2
30,36	3
0,26	3
100,77	1
67,82	1
67,41	2
74,29	2
95,43	2
95,10	2
81,21	2
21,42	3
10,19	3
28,35	3
57,28	2
87,24	2
82,53	2
30,32	3
23,52	3
69,8	2
97,42	2
13,30	3
99,89	1
1,78	1
41,36	2
48,69	1
68,33	2
40,99	1
94,58	2
95,54	2
97,95	1
80,14	2
69,28	2
89,79	1
60,26	2
8,46	3
92,96	1
10,19	3
45,13	2
89,57	2
71,46	2
13,15	3
25,48	3
17,69	1
21,26	3
24,97	1
57,16	2
3,39	3
33,2	3
6,21	3
25,44	3
62,33	2
96,44	2
54,27	2
21,95	1
27,65	1
13,7	3
80,22	2
77,11	2
12,73	1
90,48	2
92,62	2
40,43	2
84,64	2
60,94	1
86,84	1
86,6	2
32,41	3
83,69	1
85,100	1
12,56	3
30,93	1
47,19	2
20,76	1
33,89	1
42,23	2
32,11	3
19,39	3
98,86	1
20,29	3
45,93	1
52,93	1
80,67	1
68,77	1
13,33	3
59,31	2
21,27	3
7,18	3
99,84	1
39,85	1
29,68	1
39,45	2
91,37	2
97,49	2
56,48	2
3,3	3
53,56	2
64,46	2
6,6	3
75,75	1
64,12	2
